Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL013,AL013-5,Echidnophaga ambulans,ambulans,1,1,0,1,1,0,outgroup,N/A,N/A,,,,CTENO002-18,KR363634.1,,,,Oceania,Australia,New South Wales,Lightning Ridge,-29.3098,148.2723,Tachyglossus aculeatus,echidna,2013,Andrea Lawrence,"Lawrence, A.L., Hii, S.F., Chong, R., Webb, C.E., Traub, R., Brown, G., Slapeta, J., 2015. Evaluation of the bacterial microbiome of two flea species using different DNA-isolation techniques provides insights into flea host ecology. FEMS Microbiol. Ecol. 91."
AL013,AL013-7,Echidnophaga ambulans,ambulans,1,1,0,1,1,0,outgroup,N/A,N/A,,,,CTENO003-18,KR363635.1,,,,Oceania,Australia,New South Wales,Lightning Ridge,-29.3098,148.2723,Tachyglossus aculeatus,echidna,2013,Andrea Lawrence,"Lawrence, A.L., Hii, S.F., Chong, R., Webb, C.E., Traub, R., Brown, G., Slapeta, J., 2015. Evaluation of the bacterial microbiome of two flea species using different DNA-isolation techniques provides insights into flea host ecology. FEMS Microbiol. Ecol. 91."
AL013,AL013-9,Echidnophaga ambulans,ambulans,1,1,0,1,1,0,outgroup,N/A,N/A,,,,CTENO004-18,KR363639.1,,,,Oceania,Australia,New South Wales,Lightning Ridge,-29.3098,148.2723,Tachyglossus aculeatus,echidna,2013,Andrea Lawrence,"Lawrence, A.L., Hii, S.F., Chong, R., Webb, C.E., Traub, R., Brown, G., Slapeta, J., 2015. Evaluation of the bacterial microbiome of two flea species using different DNA-isolation techniques provides insights into flea host ecology. FEMS Microbiol. Ecol. 91."
AL1004,AL1004-1,Ctenocephalides felis,felis,1,1,0,1,1,1,1,1,h9,included,Clade 2,Temperate,CTENO005-18,MG586243,MG586674,MG586771,MG586743,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Felis catus,cat,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1005,AL1005-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO006-18,MG586244,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1008,AL1008-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h11,included,,,CTENO007-18,MG586245,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1012,AL1012-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO008-18,MG586246,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1028,AL1028-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO009-18,MG586247,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1039,AL1039-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO010-18,MG586248,,,,Europe,Lithuania,Kaunas province,Kaunas,54.9082,23.8798,Canis lupus familiaris,dog,Oct-May-2016,Saulius Petkevicius & Leonas Kriauceliunas ,
AL1041,AL1041-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h12,included,Clade 1,Temperate,CTENO011-18,KY048348.1,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Felis catus,owned cat,14-March-2016,Stephanie Williams,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1042,AL1042-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO012-18,KY048333.1,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Felis catus,owned cat,09-March-2016,Alistair Newbould,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1043,AL1043-1,Pulex irritans,,1,1,0,1,1,0,0,0,,,,,CTENO013-18,KY048351.1,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Canis lupus familiaris,owned dog,02-February-2016,Stephanie Williams,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1044,AL1044-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO014-18,KY048334.1,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Felis catus,owned cat,29-February-2016,Stephanie Williams,"Voucher damaged; Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1045,AL1045-1,Ctenocephalides felis,felis,1,0,1,1,1,0,0,0,,excluded (overrepresentation),,,CTENO015-18,KY048343.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Canis lupus familiaris,owned dog,02-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1046,AL1046-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO016-18,KY048335.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,07-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1047,AL1047-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO017-18,KY048336.1,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Felis catus,owned cat,19-February-2016,Alistair Newbould,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1047,AL1047-2,Ctenocephalides felis,felis,1,0,1,1,1,0,0,0,,excluded (overrepresentation),,,CTENO018-18,KY048337.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,19-February-2016,Alistair Newbould,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO019-18,KY048322.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-5,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO020-18,KY048323.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-6,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO021-18,KY048324.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-4,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO022-18,KY048338.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-3,Ctenocephalides felis,felis,1,0,1,1,1,0,0,0,,excluded (overrepresentation),,,CTENO023-18,KY048344.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1048,AL1048-2,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO024-18,KY048349.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,feral cat,10-March-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1049,AL1049-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO025-18,KY048339.1,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Canis lupus familiaris,owned dog,05-March-2016,Stephanie Williams,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1050,AL1050-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h13,included,Clade 1,Temperate,CTENO026-18,KY048350.1,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Felis catus,owned cat,25-February-2016,Alistair Newbould,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1051,AL1051-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,CTENO027-18,KY048345.1,,,,Oceania,New Zealand,South Island,Dunedin,-45.8788,170.5028,Canis lupus familiaris,owned dog,03-February-2016,Alistair Newbould,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1053,AL1053-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO028-18,KY048325.1,,,,Oceania,New Zealand,South Island,Blenheim,-41.5134,173.9613,Felis catus,owned cat,12-February-2016,Mark Wiseman,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1054,AL1054-1,Ctenocephalides felis,felis,1,1,0,1,1,0,0,0,,excluded (overrepresentation),,,CTENO029-18,KY048346.1,,,,Oceania,New Zealand,South Island,Gore,-46.0988,168.9458,Felis catus,owned cat,17-February-2016,Stephanie Williams,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
AL1059,AL1059-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO030-18,MG586249,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Canis lupus familiaris,dog,20-June-2016,Caroline Marschner & Robert Heger,
